source,target,type,intensite
S0036,S0020,amitie,4
S0180,S0430,colocation,2
S0435,S0298,amitie,3
S0474,S0391,amitie,3
S0072,S0488,amitie,1
S0448,S0034,amitie,2
S0444,S0249,amitie,2
S0177,S0152,colocation,4
S0003,S0435,colocation,3
S0248,S0476,amitie,4
S0172,S0245,amitie,3
S0465,S0178,amitie,2
S0361,S0270,amitie,4
S0283,S0082,colocation,1
S0266,S0141,colocation,2
S0116,S0488,colocation,3
S0087,S0326,cours_partage,3
S0433,S0331,amitie,4
S0206,S0337,amitie,3
S0370,S0126,colocation,2
S0197,S0490,amitie,2
S0164,S0247,cours_partage,1
S0043,S0370,amitie,3
S0013,S0467,amitie,3
S0404,S0460,amitie,2
S0196,S0233,amitie,4
S0462,S0384,amitie,1
S0428,S0413,amitie,1
S0376,S0466,cours_partage,2
S0010,S0491,colocation,3
S0124,S0182,colocation,4
S0238,S0495,cours_partage,3
S0014,S0188,amitie,1
S0285,S0483,amitie,4
S0223,S0050,amitie,1
S0082,S0423,amitie,3
S0158,S0325,amitie,4
S0343,S0053,colocation,3
S0270,S0030,amitie,4
S0170,S0157,colocation,1
S0385,S0260,amitie,4
S0444,S0385,colocation,4
S0221,S0219,colocation,2
S0122,S0455,colocation,3
S0242,S0303,cours_partage,3
S0058,S0427,amitie,4
S0499,S0380,colocation,1
S0155,S0257,amitie,2
S0000,S0111,colocation,3
S0073,S0472,amitie,2
S0489,S0145,amitie,1
S0237,S0374,colocation,3
S0176,S0275,cours_partage,1
S0381,S0432,amitie,1
S0432,S0234,colocation,2
S0279,S0021,amitie,4
S0236,S0362,colocation,3
S0117,S0151,amitie,2
S0205,S0119,cours_partage,4
S0003,S0279,amitie,4
S0109,S0401,colocation,4
S0401,S0426,cours_partage,1
S0001,S0338,amitie,2
S0236,S0151,amitie,4
S0189,S0331,amitie,3
S0039,S0448,amitie,4
S0221,S0130,colocation,1
S0286,S0307,amitie,2
S0370,S0185,amitie,1
S0110,S0149,amitie,2
S0245,S0494,cours_partage,3
S0074,S0369,amitie,1
S0123,S0154,amitie,4
S0323,S0018,amitie,3
S0450,S0151,colocation,1
S0278,S0184,amitie,4
S0353,S0322,amitie,1
S0403,S0349,amitie,1
S0125,S0487,amitie,4
S0402,S0379,amitie,4
S0367,S0051,amitie,1
S0152,S0208,amitie,2
S0041,S0450,amitie,4
S0479,S0398,amitie,3
S0359,S0390,amitie,4
S0356,S0081,amitie,3
S0097,S0078,amitie,1
S0467,S0119,amitie,3
S0107,S0124,amitie,2
S0074,S0129,colocation,2
S0382,S0311,amitie,1
S0285,S0037,cours_partage,3
S0399,S0026,colocation,3
S0461,S0482,colocation,1
S0425,S0487,amitie,2
S0070,S0308,colocation,2
S0278,S0280,colocation,3
S0324,S0290,colocation,1
S0158,S0228,amitie,2
S0038,S0322,amitie,3
S0073,S0003,colocation,4
S0207,S0166,amitie,1
S0073,S0048,colocation,1
S0304,S0368,cours_partage,3
S0155,S0304,cours_partage,3
S0249,S0003,amitie,2
S0100,S0159,cours_partage,4
S0172,S0204,colocation,1
S0353,S0438,amitie,1
S0269,S0158,amitie,3
S0355,S0245,amitie,1
S0490,S0285,cours_partage,4
S0055,S0027,amitie,2
S0429,S0034,amitie,1
S0184,S0349,colocation,1
S0024,S0435,cours_partage,1
S0499,S0219,amitie,3
S0289,S0471,cours_partage,4
S0098,S0306,amitie,1
S0135,S0078,amitie,4
S0112,S0313,cours_partage,2
S0353,S0422,amitie,3
S0276,S0256,amitie,3
S0193,S0187,cours_partage,3
S0138,S0384,amitie,1
S0073,S0451,amitie,3
S0402,S0158,amitie,1
S0321,S0442,colocation,1
S0377,S0174,colocation,2
S0121,S0115,cours_partage,1
S0255,S0104,amitie,4
S0125,S0173,amitie,4
S0233,S0395,colocation,3
S0328,S0227,amitie,1
S0374,S0081,cours_partage,4
S0379,S0239,amitie,3
S0358,S0321,amitie,2
S0040,S0452,amitie,2
S0440,S0058,cours_partage,4
S0241,S0264,amitie,4
S0009,S0388,amitie,2
S0217,S0277,amitie,3
S0135,S0149,amitie,4
S0301,S0482,amitie,4
S0056,S0206,amitie,4
S0359,S0047,colocation,4
S0172,S0088,amitie,3
S0357,S0059,amitie,3
S0024,S0043,colocation,1
S0135,S0006,amitie,2
S0441,S0419,amitie,2
S0014,S0096,amitie,2
S0326,S0318,colocation,4
S0382,S0437,colocation,2
S0044,S0015,amitie,3
S0375,S0115,colocation,4
S0490,S0240,amitie,4
S0032,S0351,amitie,2
S0014,S0286,cours_partage,4
S0171,S0496,cours_partage,1
S0040,S0305,colocation,3
S0426,S0199,amitie,4
S0135,S0359,cours_partage,3
S0084,S0281,amitie,2
S0346,S0414,colocation,3
S0430,S0090,amitie,1
S0319,S0026,colocation,4
S0329,S0469,amitie,1
S0102,S0385,amitie,2
S0377,S0053,amitie,2
S0372,S0071,amitie,3
S0437,S0133,colocation,1
S0096,S0002,colocation,1
S0210,S0130,colocation,2
S0333,S0211,cours_partage,4
S0169,S0249,colocation,3
S0307,S0195,cours_partage,2
S0201,S0418,cours_partage,2
S0495,S0049,amitie,2
S0333,S0160,amitie,4
S0410,S0420,amitie,3
S0307,S0413,amitie,3
S0440,S0131,colocation,4
S0325,S0167,colocation,2
S0497,S0319,amitie,4
S0396,S0229,amitie,1
S0224,S0240,amitie,4
S0395,S0479,colocation,1
S0455,S0491,amitie,4
S0167,S0002,amitie,2
S0256,S0498,amitie,4
S0446,S0455,amitie,1
S0454,S0433,amitie,1
S0181,S0011,amitie,3
S0103,S0081,colocation,1
S0361,S0232,amitie,4
S0036,S0062,amitie,1
S0422,S0220,amitie,2
S0473,S0319,amitie,3
S0410,S0233,amitie,3
S0473,S0177,amitie,4
S0157,S0332,amitie,4
S0424,S0072,colocation,2
S0044,S0306,amitie,2
S0089,S0344,cours_partage,1
S0070,S0213,amitie,2
S0168,S0492,amitie,3
S0132,S0488,colocation,3
S0381,S0115,cours_partage,1
S0402,S0349,amitie,1
S0224,S0157,cours_partage,3
S0112,S0023,amitie,2
S0133,S0426,cours_partage,1
S0235,S0280,amitie,1
S0307,S0169,cours_partage,2
S0087,S0294,amitie,2
S0411,S0283,cours_partage,4
S0191,S0072,colocation,2
S0165,S0041,amitie,3
S0288,S0267,amitie,3
S0030,S0041,cours_partage,4
S0391,S0436,amitie,4
S0246,S0071,cours_partage,4
S0234,S0168,amitie,1
S0182,S0034,cours_partage,4
S0379,S0449,amitie,4
S0358,S0369,amitie,1
