id,age,filiere,annee,logement,stress_score,consomme_cannabis,frequence_cannabis
S0000,24,Économie,2,résidence,6,1,rare
S0001,21,Économie,1,résidence,7,0,jamais
S0002,22,Droit,4,famille,9,0,jamais
S0003,24,Info,4,colocation,5,1,quotidien
S0004,20,Médecine,5,famille,1,0,jamais
S0005,25,Droit,2,colocation,7,0,jamais
S0006,22,Médecine,5,résidence,5,0,jamais
S0007,22,Sciences,2,famille,3,0,jamais
S0008,24,Médecine,5,famille,9,0,jamais
S0009,19,Info,3,famille,1,0,jamais
S0010,20,Sciences,3,résidence,1,0,mensuel
S0011,24,Médecine,3,colocation,1,1,mensuel
S0012,20,Sciences,3,colocation,3,0,jamais
S0013,20,Médecine,1,résidence,6,1,mensuel
S0014,25,Info,3,seul,3,0,jamais
S0015,22,Médecine,4,résidence,8,0,quotidien
S0016,21,Médecine,4,seul,2,0,jamais
S0017,25,Médecine,1,colocation,9,0,jamais
S0018,25,Droit,3,résidence,3,0,jamais
S0019,20,Droit,3,colocation,5,0,jamais
S0020,23,Droit,3,seul,8,0,jamais
S0021,22,Info,5,famille,2,0,quotidien
S0022,19,Sciences,2,famille,6,0,rare
S0023,25,Économie,5,famille,5,0,quotidien
S0024,21,Médecine,2,famille,9,0,jamais
S0025,23,Médecine,3,famille,5,0,jamais
S0026,23,Info,3,résidence,2,1,rare
S0027,19,Médecine,5,colocation,5,1,mensuel
S0028,25,Droit,5,résidence,4,0,mensuel
S0029,21,Économie,2,seul,7,1,mensuel
S0030,22,Lettres,4,seul,6,0,rare
S0031,18,Médecine,2,résidence,2,0,jamais
S0032,21,Droit,5,famille,5,0,jamais
S0033,19,Lettres,5,seul,7,1,mensuel
S0034,23,Économie,1,résidence,7,0,jamais
S0035,22,Lettres,5,colocation,5,0,jamais
S0036,21,Droit,1,seul,9,0,mensuel
S0037,18,Sciences,4,résidence,4,1,mensuel
S0038,18,Sciences,2,famille,3,0,jamais
S0039,20,Lettres,2,résidence,4,1,hebdo
S0040,20,Info,1,seul,5,0,quotidien
S0041,24,Lettres,2,seul,6,0,jamais
S0042,19,Médecine,5,seul,3,0,rare
S0043,25,Médecine,3,colocation,2,0,jamais
S0044,21,Sciences,1,seul,4,0,rare
S0045,21,Info,2,famille,5,0,jamais
S0046,25,Droit,1,résidence,4,1,mensuel
S0047,24,Médecine,1,famille,3,0,jamais
S0048,23,Sciences,3,résidence,8,1,hebdo
S0049,23,Économie,5,colocation,4,1,mensuel
S0050,24,Sciences,1,résidence,2,0,jamais
S0051,23,Médecine,2,résidence,2,0,jamais
S0052,20,Médecine,4,résidence,1,1,quotidien
S0053,21,Sciences,1,famille,4,0,jamais
S0054,24,Droit,1,résidence,9,1,quotidien
S0055,21,Lettres,3,famille,7,0,jamais
S0056,25,Médecine,5,résidence,7,0,jamais
S0057,18,Sciences,4,résidence,7,1,hebdo
S0058,20,Sciences,2,colocation,8,1,mensuel
S0059,22,Info,4,famille,1,1,mensuel
S0060,20,Lettres,2,résidence,8,0,jamais
S0061,24,Économie,5,famille,4,1,hebdo
S0062,22,Droit,2,seul,4,0,jamais
S0063,18,Économie,3,famille,4,0,jamais
S0064,24,Lettres,3,résidence,6,0,jamais
S0065,19,Lettres,3,résidence,7,0,jamais
S0066,21,Lettres,3,seul,6,0,jamais
S0067,18,Économie,4,résidence,1,1,quotidien
S0068,21,Lettres,5,seul,8,1,quotidien
S0069,23,Sciences,2,colocation,7,1,mensuel
S0070,19,Économie,2,seul,6,0,jamais
S0071,19,Lettres,3,famille,6,1,hebdo
S0072,18,Sciences,3,seul,5,1,mensuel
S0073,19,Info,1,colocation,6,1,mensuel
S0074,22,Lettres,5,famille,9,0,jamais
S0075,19,Économie,4,colocation,9,0,jamais
S0076,21,Médecine,2,colocation,8,0,jamais
S0077,21,Lettres,1,famille,9,0,jamais
S0078,24,Médecine,1,seul,8,0,jamais
S0079,21,Sciences,2,seul,8,1,quotidien
S0080,24,Info,4,famille,1,0,jamais
S0081,21,Droit,1,colocation,5,0,jamais
S0082,22,Info,1,colocation,4,0,mensuel
S0083,25,Lettres,5,famille,2,0,jamais
S0084,24,Médecine,4,résidence,8,0,jamais
S0085,20,Médecine,1,résidence,3,0,jamais
S0086,23,Économie,4,colocation,4,0,jamais
S0087,18,Médecine,2,résidence,7,1,hebdo
S0088,21,Économie,3,résidence,9,1,mensuel
S0089,19,Sciences,1,résidence,2,0,quotidien
S0090,25,Droit,5,résidence,3,0,jamais
S0091,21,Lettres,2,résidence,4,1,rare
S0092,19,Économie,4,seul,1,0,jamais
S0093,23,Droit,2,colocation,7,0,jamais
S0094,23,Médecine,1,colocation,2,1,mensuel
S0095,23,Médecine,4,famille,5,0,jamais
S0096,19,Droit,3,résidence,1,0,jamais
S0097,21,Médecine,2,seul,3,0,jamais
S0098,23,Sciences,1,famille,2,0,quotidien
S0099,22,Sciences,5,résidence,1,0,jamais
S0100,24,Droit,4,colocation,7,1,hebdo
S0101,19,Économie,2,seul,5,0,rare
S0102,19,Économie,2,seul,1,0,hebdo
S0103,21,Droit,3,colocation,6,1,rare
S0104,19,Économie,3,famille,5,0,mensuel
S0105,19,Économie,5,résidence,3,0,jamais
S0106,23,Sciences,5,seul,7,1,hebdo
S0107,21,Économie,1,résidence,9,0,jamais
S0108,23,Info,1,seul,9,1,hebdo
S0109,24,Lettres,5,famille,9,1,mensuel
S0110,25,Médecine,5,famille,2,0,jamais
S0111,24,Info,4,colocation,3,0,jamais
S0112,25,Économie,3,résidence,7,1,hebdo
S0113,23,Sciences,1,résidence,5,0,quotidien
S0114,24,Droit,3,résidence,2,1,mensuel
S0115,21,Économie,3,résidence,3,0,quotidien
S0116,18,Sciences,5,famille,6,0,jamais
S0117,23,Lettres,4,colocation,7,0,jamais
S0118,25,Économie,2,résidence,9,1,rare
S0119,22,Droit,4,seul,1,1,mensuel
S0120,25,Sciences,4,seul,7,0,jamais
S0121,22,Sciences,3,seul,8,0,jamais
S0122,19,Sciences,4,seul,3,0,jamais
S0123,24,Lettres,1,résidence,4,0,hebdo
S0124,22,Économie,3,colocation,6,0,rare
