id_etudiant_A,id_etudiant_B,type_relation
E001,E008,ami_proche
E001,E013,ami
E001,E020,connaissance
E002,E016,ami_proche
E002,E025,ami_proche
E003,E009,ami_proche
E003,E014,ami_proche
E003,E017,ami_proche
E004,E007,connaissance
E004,E019,ami
E005,E015,ami
E005,E022,ami_proche
E006,E029,ami_proche
E007,E019,ami_proche
E007,E023,ami
E008,E013,ami
E008,E020,ami_proche
E009,E014,ami
E009,E017,ami_proche
E010,E024,connaissance
E011,E018,ami
E011,E027,ami_proche
E012,E021,ami_proche
E012,E026,ami_proche
E013,E020,ami
E014,E017,connaissance
E015,E022,ami
E016,E025,ami
E018,E027,ami
E019,E023,ami_proche
E021,E026,ami
E024,E028,ami
