group_id,type,taille
G000,club,18
G001,residence,6
G002,residence,22
G003,td_group,25
G004,td_group,23
G005,club,14
G006,club,21
G007,td_group,12
G008,club,18
G009,td_group,8
G010,club,11
G011,club,18
G012,club,27
G013,td_group,15
G014,club,29
G015,club,5
G016,residence,14
G017,td_group,7
G018,club,10
G019,residence,8
G020,td_group,5
G021,td_group,23
G022,td_group,20
G023,td_group,23
G024,td_group,15
G025,td_group,25
G026,club,17
G027,club,13
G028,residence,8
G029,residence,5
G030,residence,26
G031,td_group,11
G032,residence,26
G033,td_group,25
G034,club,26
G035,club,12
G036,residence,13
G037,club,12
G038,residence,22
G039,td_group,21
