student_id,group_id
S0000,G021
S0001,G038
S0002,G010
S0002,G006
S0003,G021
S0003,G002
S0003,G028
S0004,G031
S0005,G012
S0005,G020
S0005,G018
S0006,G015
S0006,G029
S0007,G029
S0007,G033
S0007,G025
S0008,G012
S0008,G032
S0009,G006
S0009,G029
S0010,G026
S0011,G000
S0012,G032
S0012,G005
S0013,G012
S0013,G038
S0014,G004
S0014,G033
S0015,G004
S0016,G033
S0016,G029
S0016,G027
S0017,G004
S0018,G018
S0018,G000
S0019,G013
S0019,G000
S0020,G030
S0021,G007
S0022,G002
S0022,G037
S0022,G012
S0023,G009
S0024,G024
S0024,G012
S0025,G009
S0026,G032
S0026,G012
S0026,G008
S0027,G008
S0028,G025
S0028,G034
S0028,G007
S0029,G024
S0030,G020
S0030,G011
S0030,G031
S0031,G031
S0031,G035
S0031,G033
S0032,G006
S0033,G018
S0034,G001
S0034,G021
S0034,G015
S0035,G038
S0035,G014
S0035,G008
S0036,G000
S0037,G037
S0037,G007
S0038,G017
S0038,G011
S0038,G010
S0039,G031
S0040,G012
S0040,G010
S0041,G025
S0041,G015
S0041,G033
S0042,G029
S0043,G028
S0043,G032
S0043,G035
S0044,G018
S0044,G029
S0044,G024
S0045,G035
S0046,G007
S0046,G032
S0047,G021
S0047,G039
S0047,G007
S0048,G030
S0048,G029
S0049,G025
S0049,G015
S0049,G037
S0050,G008
S0050,G036
S0050,G016
S0051,G002
S0052,G028
S0053,G021
S0054,G025
S0054,G006
S0055,G001
S0055,G021
S0055,G017
S0056,G014
S0056,G021
S0056,G037
S0057,G001
S0057,G003
S0057,G029
S0058,G039
S0058,G016
S0058,G001
S0059,G022
S0060,G011
S0061,G035
S0062,G010
S0062,G018
S0063,G024
S0063,G005
S0064,G015
S0064,G027
S0065,G016
S0065,G029
S0066,G013
S0067,G001
S0067,G026
S0067,G027
S0068,G027
S0068,G009
S0069,G032
S0070,G030
S0071,G035
S0072,G021
S0072,G006
S0073,G002
S0074,G021
S0075,G020
S0075,G006
S0076,G011
S0077,G037
S0077,G000
S0077,G006
S0078,G033
S0079,G016
S0080,G006
S0081,G002
S0082,G038
S0082,G035
S0082,G039
S0083,G022
S0084,G033
S0085,G000
S0086,G032
S0086,G037
S0087,G026
S0087,G002
S0087,G004
S0088,G029
S0088,G020
S0088,G023
S0089,G011
S0089,G038
S0089,G025
S0090,G015
S0091,G024
S0092,G009
S0093,G038
S0093,G033
S0093,G028
S0094,G032
S0095,G003
S0096,G023
S0097,G014
S0097,G013
S0097,G016
S0098,G007
S0098,G022
S0098,G036
S0099,G025
S0099,G038
S0100,G011
S0100,G004
S0101,G023
S0102,G009
S0102,G032
S0103,G001
S0104,G022
S0105,G010
S0106,G000
S0107,G028
S0107,G026
S0107,G025
S0108,G020
S0108,G006
S0109,G030
S0109,G007
S0110,G012
S0111,G024
S0111,G026
S0111,G018
S0112,G014
S0112,G012
S0113,G035
S0113,G007
S0114,G037
S0114,G008
S0114,G015
S0115,G032
S0115,G017
S0115,G008
S0116,G010
S0116,G004
S0117,G009
S0118,G029
S0119,G021
S0119,G017
S0119,G009
S0120,G039
S0120,G000
S0121,G016
S0121,G005
S0121,G022
S0122,G024
S0122,G007
S0122,G023
S0123,G021
S0123,G014
S0123,G007
S0124,G010
S0125,G008
S0125,G030
S0126,G008
S0126,G024
S0126,G032
S0127,G032
S0127,G029
S0128,G012
S0128,G023
S0128,G022
S0129,G006
S0130,G025
S0130,G027
S0130,G010
S0131,G038
S0131,G011
S0131,G023
S0132,G038
S0133,G018
S0134,G005
S0135,G003
S0135,G020
S0135,G009
S0136,G022
S0136,G027
S0136,G018
S0137,G011
S0137,G009
S0138,G002
S0138,G021
S0138,G034
S0139,G001
S0139,G013
S0139,G035
S0140,G012
S0141,G026
S0141,G008
S0142,G018
S0142,G020
S0143,G001
S0144,G023
S0144,G006
S0145,G038
S0145,G039
S0146,G003
S0146,G039
S0147,G014
S0148,G025
S0148,G003
S0148,G014
S0149,G015
S0149,G033
S0149,G031
S0150,G028
S0151,G022
S0151,G030
S0151,G018
S0152,G019
S0152,G020
S0153,G003
S0154,G038
S0154,G022
S0155,G015
S0156,G024
S0156,G021
S0157,G006
S0157,G011
S0158,G017
S0158,G037
S0158,G008
S0159,G008
S0160,G035
S0161,G013
S0161,G026
S0161,G033
S0162,G028
S0162,G012
S0163,G012
S0164,G039
S0164,G003
S0164,G027
S0165,G016
S0166,G022
S0166,G026
S0167,G009
S0167,G034
S0168,G013
S0168,G003
S0169,G014
S0169,G001
S0170,G025
S0170,G003
S0171,G022
S0171,G038
S0171,G017
S0172,G030
S0173,G036
S0173,G021
S0173,G022
S0174,G023
S0175,G039
S0175,G028
S0175,G011
S0176,G007
S0176,G018
S0176,G012
S0177,G009
S0177,G036
S0177,G030
S0178,G039
S0179,G023
S0179,G001
S0180,G021
S0181,G026
S0182,G029
S0183,G002
S0184,G017
S0184,G022
S0185,G017
S0185,G030
S0186,G022
S0186,G000
S0186,G004
S0187,G019
S0187,G005
S0188,G016
S0189,G030
S0189,G017
S0190,G009
S0190,G004
S0190,G030
S0191,G031
S0191,G017
S0191,G038
S0192,G025
S0193,G030
S0194,G005
S0194,G001
S0195,G013
S0195,G005
S0195,G027
S0196,G023
S0196,G033
S0196,G025
S0197,G022
S0198,G035
S0198,G009
S0198,G017
S0199,G031
S0200,G037
S0200,G022
S0201,G028
S0201,G007
S0202,G004
S0202,G022
S0202,G038
S0203,G025
S0204,G007
S0204,G024
S0205,G028
S0205,G024
S0205,G015
S0206,G028
S0206,G032
S0207,G003
S0208,G014
S0209,G024
S0209,G004
S0209,G013
S0210,G029
S0210,G031
S0211,G000
S0211,G021
S0211,G027
S0212,G015
S0212,G003
S0212,G010
S0213,G001
S0213,G031
S0214,G035
S0215,G037
S0215,G015
S0215,G021
S0216,G029
S0217,G010
S0218,G011
S0218,G012
S0218,G035
S0219,G002
S0219,G024
S0220,G004
S0220,G032
S0221,G036
S0221,G031
S0221,G001
S0222,G021
S0222,G022
S0222,G010
S0223,G001
S0224,G034
S0224,G003
S0225,G004
S0225,G010
S0225,G001
S0226,G000
S0226,G008
S0227,G014
S0228,G033
S0228,G015
S0229,G017
S0229,G024
S0230,G035
S0231,G015
S0231,G039
S0232,G016
S0233,G016
S0233,G022
S0233,G017
S0234,G012
S0234,G019
S0235,G018
S0235,G001
S0235,G024
S0236,G015
S0236,G023
S0237,G036
S0237,G011
S0237,G030
S0238,G006
S0238,G016
S0239,G000
S0240,G036
S0240,G030
S0241,G014
S0241,G019
S0241,G029
S0242,G025
S0243,G032
S0244,G037
S0244,G019
S0244,G035
S0245,G014
S0245,G019
S0246,G012
S0247,G000
S0247,G011
S0248,G020
S0248,G037
S0249,G007
S0249,G017
S0249,G004
S0250,G031
S0250,G030
S0250,G019
S0251,G018
S0252,G020
S0253,G017
S0253,G014
S0254,G005
S0254,G036
S0254,G028
S0255,G023
S0255,G001
S0256,G006
S0256,G023
S0256,G019
S0257,G021
S0257,G029
S0257,G024
S0258,G033
S0258,G003
S0259,G039
S0259,G022
S0259,G031
S0260,G003
S0260,G009
S0260,G038
S0261,G002
S0261,G023
S0261,G003
S0262,G006
S0262,G015
S0262,G004
S0263,G024
S0263,G031
S0264,G034
S0264,G024
S0264,G035
S0265,G023
S0265,G029
S0266,G039
S0266,G017
S0266,G003
S0267,G001
S0267,G017
S0267,G007
S0268,G014
S0268,G017
S0268,G030
S0269,G025
S0270,G008
S0271,G039
S0271,G021
S0271,G029
S0272,G008
S0273,G004
S0273,G021
S0274,G016
S0275,G011
S0275,G024
S0276,G031
S0276,G021
S0277,G029
S0278,G036
S0278,G010
S0278,G033
S0279,G000
S0279,G003
S0279,G006
S0280,G027
S0280,G038
S0280,G018
S0281,G006
S0282,G010
S0282,G002
S0282,G027
S0283,G020
S0283,G008
S0284,G028
S0284,G034
S0284,G021
S0285,G008
S0286,G039
S0286,G016
S0286,G021
S0287,G032
S0287,G035
S0288,G038
S0288,G018
S0289,G038
S0289,G039
S0289,G030
S0290,G026
S0290,G007
S0290,G032
S0291,G002
S0292,G030
S0293,G029
S0294,G037
S0294,G028
S0295,G009
S0295,G008
S0295,G001
S0296,G023
S0297,G038
S0298,G018
S0298,G024
S0299,G018
S0300,G032
S0300,G004
S0301,G032
S0301,G020
S0301,G000
S0302,G032
S0302,G014
S0303,G036
S0303,G017
S0303,G035
S0304,G028
S0304,G003
S0304,G024
S0305,G022
S0306,G037
S0306,G008
S0307,G025
S0307,G029
S0307,G011
S0308,G003
S0308,G027
S0309,G036
S0309,G005
S0310,G033
S0311,G018
S0311,G027
S0311,G020
S0312,G020
S0312,G037
S0312,G036
S0313,G016
S0313,G031
S0314,G019
S0314,G035
S0314,G012
S0315,G023
S0316,G000
S0316,G006
S0317,G035
S0317,G000
S0317,G027
S0318,G018
S0318,G036
S0318,G039
S0319,G031
S0319,G005
S0320,G004
S0321,G025
S0321,G028
S0321,G033
S0322,G025
S0323,G000
S0324,G011
S0324,G025
S0325,G006
S0325,G026
S0325,G001
S0326,G024
S0326,G035
S0326,G039
S0327,G005
S0327,G000
S0328,G038
S0329,G026
S0330,G032
S0330,G027
S0330,G003
S0331,G008
S0331,G002
S0331,G034
S0332,G012
S0332,G002
S0332,G013
S0333,G032
S0334,G022
S0334,G003
S0335,G014
S0335,G018
S0335,G017
S0336,G002
S0336,G037
S0337,G025
S0337,G034
S0338,G012
S0339,G007
S0340,G000
S0341,G000
S0341,G025
S0341,G017
S0342,G016
S0342,G005
S0343,G000
S0343,G034
S0344,G033
S0345,G001
S0345,G005
S0345,G007
S0346,G013
S0346,G038
S0346,G034
S0347,G019
S0347,G025
S0348,G007
S0349,G008
S0349,G032
S0350,G010
S0350,G009
S0350,G025
S0351,G000
S0351,G027
S0352,G025
S0353,G013
S0353,G026
S0353,G028
S0354,G006
S0354,G001
S0355,G038
S0355,G018
S0355,G039
S0356,G031
S0356,G018
S0356,G012
S0357,G031
S0357,G029
S0358,G011
S0358,G004
S0358,G038
S0359,G037
S0359,G034
S0359,G012
S0360,G009
S0361,G014
S0361,G009
S0362,G012
S0362,G018
S0363,G004
S0363,G017
S0363,G035
S0364,G010
S0364,G005
S0364,G034
S0365,G027
S0365,G003
S0366,G038
S0366,G017
S0367,G000
S0368,G015
S0368,G018
S0369,G029
S0369,G034
S0370,G003
S0370,G008
S0370,G014
S0371,G019
S0371,G026
S0371,G018
S0372,G032
S0372,G014
S0373,G010
S0374,G012
S0374,G004
S0375,G027
S0375,G010
S0376,G007
S0376,G003
S0376,G020
S0377,G009
S0378,G013
S0379,G037
S0380,G010
S0380,G021
S0380,G033
S0381,G034
S0382,G027
S0383,G037
S0383,G011
S0383,G014
S0384,G026
S0384,G010
S0385,G032
S0385,G021
S0385,G027
S0386,G018
S0387,G011
S0387,G033
S0387,G006
S0388,G027
S0388,G026
S0389,G013
S0390,G024
S0391,G003
S0391,G016
S0392,G017
S0392,G001
S0392,G024
S0393,G022
S0393,G009
S0394,G034
S0394,G039
S0395,G015
S0396,G017
S0396,G028
S0396,G013
S0397,G024
S0398,G031
S0398,G038
S0399,G014
S0400,G002
S0400,G012
S0400,G028
S0401,G010
S0401,G034
S0401,G001
S0402,G004
S0402,G020
S0402,G028
S0403,G013
S0404,G037
S0404,G026
S0404,G003
S0405,G010
S0405,G012
S0406,G039
S0407,G037
S0407,G012
S0407,G035
S0408,G014
S0409,G012
S0409,G010
S0409,G018
S0410,G025
S0411,G033
S0411,G005
S0412,G020
S0413,G005
S0413,G038
S0414,G033
S0414,G031
S0415,G000
S0415,G037
S0416,G014
S0416,G000
S0416,G036
S0417,G013
S0417,G036
S0417,G033
S0418,G008
S0419,G004
S0420,G020
S0420,G006
S0421,G024
S0421,G028
S0421,G006
S0422,G038
S0422,G035
S0422,G005
S0423,G006
S0423,G014
S0423,G000
S0424,G030
S0425,G001
S0426,G002
S0427,G003
S0428,G014
S0429,G036
S0430,G026
S0430,G002
S0430,G006
S0431,G017
S0431,G025
S0431,G008
S0432,G021
S0433,G034
S0433,G010
S0433,G021
S0434,G032
S0434,G029
S0435,G011
S0436,G016
S0436,G024
S0436,G031
S0437,G006
S0437,G013
S0438,G005
S0438,G036
S0439,G034
S0439,G033
S0439,G014
S0440,G034
S0440,G035
S0441,G036
S0441,G035
S0441,G002
S0442,G021
S0442,G018
S0442,G039
S0443,G006
S0443,G016
S0443,G015
S0444,G033
S0445,G028
S0446,G028
S0447,G019
S0447,G020
S0448,G014
S0448,G021
S0449,G013
S0449,G018
S0449,G033
S0450,G016
S0450,G038
S0450,G037
S0451,G030
S0452,G010
S0453,G023
S0453,G024
S0453,G021
S0454,G025
S0455,G024
S0456,G004
S0457,G002
S0457,G024
S0457,G027
S0458,G008
S0458,G029
S0458,G035
S0459,G022
S0459,G026
S0460,G017
S0461,G025
S0461,G000
S0461,G034
S0462,G015
S0462,G027
S0462,G016
S0463,G024
S0463,G025
S0463,G011
S0464,G037
S0465,G005
S0465,G027
S0465,G036
S0466,G030
S0467,G039
S0468,G001
S0468,G021
S0469,G004
S0469,G013
S0469,G002
S0470,G020
S0470,G033
S0471,G038
S0471,G001
S0471,G039
S0472,G020
S0473,G000
S0473,G001
S0474,G002
S0475,G022
S0475,G008
S0475,G004
S0476,G013
S0476,G023
S0477,G013
S0478,G004
S0478,G006
S0479,G030
S0480,G020
S0481,G027
S0482,G038
S0482,G013
S0483,G027
S0483,G019
S0484,G017
S0485,G000
S0486,G031
S0486,G021
S0487,G033
S0488,G039
S0489,G028
S0489,G008
S0489,G015
S0490,G016
S0490,G028
S0490,G001
S0491,G018
S0492,G027
S0492,G008
S0492,G009
S0493,G000
S0493,G001
S0494,G030
S0495,G020
S0495,G015
S0496,G023
S0496,G021
S0497,G024
S0498,G034
S0499,G013
S0499,G028
S0499,G033
